Comm_Date,ReceivedComms,SentComms
2017-03-02,32,13
2017-03-01,30,12
2017-03-06,29,6
2017-03-05,1,2
2017-03-04,3,0
2017-03-03,9,9
2017-03-09,28,4
2017-03-08,42,13
2017-03-07,34,5
2016-03-21,2,2
2016-03-20,0,1
2016-03-16,1,1
2016-03-15,2,1
2016-03-18,0,1
2016-03-17,4,2
2016-03-11,1,1
2016-03-13,1,1
2016-03-30,1,1
2016-03-31,4,3
2016-03-29,1,1
2016-03-28,5,2
2016-03-23,3,1
2016-03-22,2,3
2016-03-25,4,2
2016-03-24,1,1
2016-03-10,0,1
2016-03-09,1,1
2016-03-08,3,1
2016-03-04,0,1
2016-03-07,0,1
2016-03-03,0,1
2016-03-02,0,1
2017-03-13,30,2
2017-03-12,16,7
2017-03-11,16,2
2017-03-10,30,4
2017-03-17,10,4
2017-03-16,15,5
2017-03-15,22,3
2017-03-14,26,4
2017-03-19,2,1
2017-03-18,11,0
2017-03-20,33,7
2017-03-24,41,15
2017-03-23,31,9
2017-03-22,23,5
2017-03-21,9,7
2017-03-28,49,25
2017-03-27,53,29
2017-03-26,7,2
2017-03-25,3,1
2017-03-29,31,10
2017-03-31,28,11
2017-03-30,47,5
2017-02-23,52,10
2017-02-22,52,7
2017-02-21,37,12
2017-02-20,22,1
2017-02-27,42,10
2017-02-26,12,1
2017-02-25,5,1
2017-02-24,16,7
2017-02-28,26,6
2017-02-01,35,9
2017-02-05,1,2
2017-02-04,0,1
2017-02-03,19,5
2017-02-02,28,6
2017-02-09,19,4
2017-02-08,30,8
2017-02-07,11,3
2017-02-06,14,6
2017-02-12,5,1
2017-02-11,1,1
2017-02-10,27,9
2017-02-16,52,8
2017-02-15,21,7
2017-02-14,8,5
2017-02-13,17,2
2017-02-19,3,1
2017-02-18,2,2
2017-02-17,15,8
2016-04-28,1,1
2016-04-27,2,1
2016-04-29,1,2
2016-04-26,5,1
2016-04-25,4,3
2016-04-11,3,3
2016-04-06,5,2
2016-04-05,1,1
2016-04-08,2,1
2016-04-07,1,1
2016-04-04,10,7
2016-04-20,1,1
2016-04-22,3,1
2016-04-21,3,1
2016-04-19,4,2
2016-04-18,2,1
2016-04-13,4,2
2016-04-12,1,1
2016-04-15,2,1
2016-04-14,2,1
2017-04-04,38,10
2017-04-05,48,16
2017-04-06,39,10
2017-04-07,24,6
2017-04-01,14,1
2017-04-02,14,1
2017-04-03,58,29
2017-04-08,5,1
2017-04-09,12,3
2017-04-10,51,6
2017-04-15,3,1
2017-04-16,1,1
2017-04-17,42,18
2017-04-18,45,9
2017-04-11,38,10
2017-04-12,19,8
2017-04-13,38,5
2017-04-14,15,5
2017-04-19,22,5
2017-04-20,18,10
2017-04-21,35,14
2017-04-26,41,7
2017-04-27,78,11
2017-04-28,49,10
2017-04-29,1,1
2017-04-22,1,1
2017-04-23,14,1
2017-04-24,28,10
2017-04-25,28,12
2017-04-30,10,1
2016-05-11,2,1
2016-05-12,3,1
2016-05-10,0,1
2016-05-09,5,2
2016-05-07,0,1
2016-05-04,2,1
2016-05-05,2,0
2016-05-02,2,1
2016-05-03,2,2
2016-05-23,4,2
2016-05-20,2,1
2016-05-21,0,1
2016-05-19,8,4
2016-05-17,0,1
2016-05-18,3,1
2016-05-16,4,2
2016-05-31,3,3
2016-05-26,3,2
2016-05-27,3,1
2016-05-24,4,2
2016-05-25,4,3
2016-12-29,5,1
2016-12-22,28,12
2016-12-23,2,1
2016-12-20,41,5
2016-12-21,23,5
2016-12-27,0,1
2016-12-24,0,0
2016-12-25,0,1
2016-12-30,1,1
2016-12-19,28,3
2016-12-17,1,1
2016-12-18,3,1
2016-12-11,1,0
2016-12-12,19,9
2016-12-10,0,1
2016-12-15,30,4
2016-12-16,15,5
2016-12-13,18,7
2016-12-14,29,8
2016-12-08,16,3
2016-12-09,19,2
2016-12-06,34,5
2016-12-07,27,3
2016-12-01,18,6
2016-12-04,2,0
2016-12-05,22,8
2016-12-02,10,7
2016-12-03,2,1
2016-01-14,1,0
2016-01-11,3,1
2016-01-12,0,1
2016-01-28,1,1
2016-01-26,0,1
2016-01-06,0,1
2016-01-08,0,1
2016-01-05,1,1
2017-01-10,22,15
2017-01-11,26,5
2017-01-14,13,5
2017-01-15,7,2
2017-01-12,25,11
2017-01-13,20,8
2017-01-18,37,14
2017-01-19,49,4
2017-01-16,13,2
2017-01-17,18,12
2016-02-01,0,1
2017-01-22,3,0
2017-01-20,17,4
2017-01-25,40,8
2017-01-26,20,5
2017-01-23,31,9
2017-01-24,34,4
2017-01-29,2,1
2017-01-27,11,9
2017-01-28,3,1
2016-02-16,0,1
2016-02-12,0,1
2017-01-03,29,7
